gname,glong,glat,vlsr
G020.457+00.021,20.4575,0.021535,73.8
G020.481+00.168,20.4817,0.168806,24.1
G020.542-00.179,20.542,-0.178847,48.6
G020.576+00.103,20.5762,0.10351,28.8
G020.727-00.259,20.7278,-0.258672,55.2
G020.728-00.105,20.7289,-0.104121,56.0
G020.966-00.455,20.9669,-0.454531,38.5
G020.988+00.092,20.988,0.092,18.6
G021.004-00.056,21.004,-0.056,28.8
G021.386-00.255,21.386,-0.254,92.1
G021.426-00.546,21.4265,-0.545733,70.2
G021.450-00.590,21.4506,-0.589631,72.7
G021.560-00.108,21.5602,-0.107847,115.1
G021.603-00.169,21.6031,-0.168674,-4.7
G021.634-00.003,21.6342,-0.00227055,20.2
G021.688+00.074,21.688,0.0743644,21.6
G021.688+00.074,21.688,0.0743644,96.6
G021.746-00.035,21.746,-0.0340381,20.0
G021.870-00.162,21.87,-0.161248,83.9
G021.870-00.162,21.87,-0.161248,33.9
G021.872-00.044,21.8729,-0.0432992,17.1
G021.873+00.005,21.8733,0.00592362,26.9
G021.884-00.318,21.8843,-0.317371,79.5
G021.931+00.104,21.9312,0.104223,82.2
G022.090-00.117,22.0907,-0.116588,83.4
G022.357+00.064,22.3571,0.0644262,82.5
G022.413-00.335,22.4136,-0.334084,80.8
G022.478-00.015,22.478,-0.0144997,87.8
G022.495-00.261,22.4958,-0.260098,2.6
G022.495-00.261,22.4958,-0.260098,81.2
G022.495-00.261,22.4958,-0.260098,88.1
G022.724-00.010,22.724,-0.00999999,38.9
G022.730-00.239,22.73,-0.239,71.1
G022.757-00.246,22.7574,-0.246,106.7
G022.761-00.492,22.7616,-0.49193,74.8
G022.780-00.401,22.78,-0.400528,70.0
G022.790-00.347,22.7908,-0.346617,112.1
G022.790-00.347,22.7908,-0.346617,69.3
G022.879+00.645,22.8795,0.645231,31.0
G022.952-00.317,22.9527,-0.316969,70.9
G022.987-00.155,22.9876,-0.154707,100.2
G022.987-00.155,22.9876,-0.154707,76.6
G022.988-00.360,22.9886,-0.359152,74.1
G023.041-00.399,23.0416,-0.398886,76.0
G023.097+00.527,23.0971,0.527466,29.5
G023.156-00.264,23.1567,-0.263217,71.7
G023.195-00.001,23.1959,-0.00081527,90.7
G023.240-00.240,23.24,-0.24,76.3
G023.249-00.312,23.2495,-0.311598,73.1
G023.257-00.453,23.2578,-0.452094,89.0
G023.257-00.453,23.2578,-0.452094,61.6
G023.264+00.077,23.2643,0.0775542,78.2
G023.276+00.314,23.2769,0.314305,108.8
G023.299-00.281,23.2997,-0.28048,61.6
G023.299-00.281,23.2997,-0.28048,99.3
G023.376+00.452,23.376,0.452,104.2
G023.389-00.148,23.389,-0.148,98.5
G023.423-00.216,23.424,-0.215376,102.1
G023.456+01.583,23.4569,1.58318,35.2
G023.458-00.179,23.458,-0.179,97.4
G023.458+00.066,23.4583,0.0663122,90.6
G023.513-00.244,23.513,-0.244,81.4
G023.568+01.582,23.5687,1.58238,40.9
G023.572-00.020,23.5722,-0.0193956,91.3
G023.581-00.400,23.5815,-0.399713,90.1
G023.585+00.029,23.585,0.029,92.2
G023.601-00.203,23.6011,-0.202446,82.7
G023.661-00.252,23.661,-0.252,66.2
G023.689+00.377,23.6894,0.377096,85.9
G023.689-00.205,23.6896,-0.204609,76.5
G023.703-00.197,23.7031,-0.196299,76.5
G023.705+00.165,23.7058,0.16578,104.3
G023.708+00.174,23.708,0.174261,104.3
G023.708-00.205,23.7084,-0.20487,76.5
G023.713+00.175,23.7134,0.175603,104.3
G023.737-00.021,23.7372,-0.0203694,3.0
G023.740-00.182,23.7409,-0.181615,72.0
G023.787+00.223,23.7872,0.223593,107.4
G023.840+00.099,23.84,0.0993617,41.9
G023.872-00.119,23.8727,-0.119,73.8
G023.897+00.064,23.8975,0.0642569,38.4
G023.907+00.074,23.9075,0.0741889,38.4
G023.957+00.149,23.9576,0.149147,78.9
G023.980-00.110,23.9808,-0.109682,75.8
G023.987-00.090,23.9872,-0.0890808,75.8
G024.003-00.103,24.0032,-0.102227,75.8
G024.020+00.190,24.0203,0.190629,104.5
G024.126-00.066,24.1263,-0.0657772,86.9
G024.138+00.123,24.1382,0.123082,114.5
G024.139+00.432,24.1394,0.432299,98.4
G024.166+00.250,24.166,0.250719,82.2
G024.166+00.250,24.166,0.250719,109.7
G024.185+00.211,24.185,0.21156,111.9
G024.187-00.037,24.1877,-0.0365117,85.1
G024.195+00.242,24.1958,0.242852,34.4
G024.195+00.242,24.1958,0.242852,107.2
G024.197+00.248,24.1972,0.248516,34.4
G024.197+00.248,24.1972,0.248516,107.2
G024.217-00.044,24.217,-0.0436244,82.0
G024.280-00.145,24.2802,-0.14407,56.8
G024.347+00.088,24.3476,0.0887131,110.0
G024.356+00.048,24.3569,0.0482758,82.9
G024.356+00.048,24.3569,0.0482758,114.0
G024.397-00.191,24.3976,-0.190407,54.7
G024.456+00.489,24.4566,0.489125,100.1
G024.493-00.219,24.4938,-0.218689,98.5
G024.497+00.482,24.4976,0.482924,98.9
G024.498-00.039,24.4986,-0.0389389,108.1
G024.507-00.225,24.5071,-0.224484,96.3
G024.507+00.239,24.5076,0.239534,116.0
G024.536+00.308,24.5364,0.308957,109.1
G024.557-00.132,24.557,-0.132,91.1
G024.678-00.164,24.6788,-0.163261,110.3
G024.713-00.125,24.713,-0.125,112.3
G024.724-00.084,24.7241,-0.0833694,109.7
G024.728+00.159,24.7289,0.159,109.3
G024.734+00.087,24.7345,0.0870764,111.3
G024.743-00.210,24.7431,-0.209376,82.6
G024.826-00.265,24.8262,-0.26499,109.8
G024.826-00.265,24.8262,-0.26499,120.8
G024.826-00.265,24.8262,-0.26499,44.7
G024.844+00.093,24.8441,0.0939236,108.2
G024.897+00.211,24.8972,0.211737,98.7
